"","year","county","waste_recycled_muni","locomobiles_density","automobiles_density","factory_density","urban_density","hospital_bed","rate_material_recov","employee_industrial","family_income","oral","breast","liver","ovarian","smoke","no2","co","lung","ozone","revenue","pm","so2"
"244",2011,"桃園市",57814.1666666667,176.761666666667,113.171666666667,NA,4802.86333333333,59.92,100,45.61,18.8966666666667,23.7966666666667,31.3816666666667,37.3366666666667,4.34333333333333,22.3422666666667,12.1833333333333,0.335,43.72,1.83333333333333,242486.833333333,"80.5","3.3"
"245",2011,"臺中市",54328.3333333333,152.153333333333,95.2433333333333,NA,4249.09666666667,74.94,100,41.36,20.4733333333333,27.1133333333333,32.8233333333333,39.9033333333333,4.24666666666667,22.4630333333333,11.7666666666667,0.35,45.13,1.66666666666667,231003.666666667,"90.8","3.95"
"246",2011,"臺北市",50842.5,127.545,77.315,NA,3695.33,89.96,100,37.11,22.05,30.43,34.265,42.47,4.15,22.5838,11.35,0.365,46.54,1.5,219520.5,"58.9","3.04"
"247",2011,"臺南市",47356.6666666667,102.936666666667,59.3866666666667,NA,3141.56333333333,104.98,100,32.86,23.6266666666667,33.7466666666667,35.7066666666667,45.0366666666667,4.05333333333333,22.7045666666667,10.9333333333333,0.38,47.95,1.33333333333333,208037.333333333,"93.3","6.38"
"248",2011,"臺東縣",43870.8333333333,78.3283333333333,41.4583333333333,NA,2587.79666666667,120,100,28.61,25.2033333333333,37.0633333333333,37.1483333333333,47.6033333333333,3.95666666666667,22.8253333333333,10.5166666666667,0.395,49.36,1.16666666666667,196554.166666667,"63.9","1.8"
"249",2011,"花蓮縣",40385,53.72,23.53,"...",2034.03,135.02,100,24.36,26.78,40.38,38.59,50.17,3.86,22.9461,10.1,0.41,50.77,1,185071,"49.3","2"
"250",2011,"苗栗縣",67140,199.89,108.98,"...",3932.34,64.73,100,47.79,21.33,22.95,36.3,56.05,3.91,18.3887,13.1,0.35,46.97,3,206302,"59.2","3"
"251",2011,"雲林縣",54789,387.41,185.77,"...",2972.92,56.1,100,32.31,27.09,46.39,28.87,88.29,3.92,18.7358,13.6,0.35,57.18,4,190066,"84.8","3.15"
"252",2011,"高雄市",413490,781.83,276.72,"...",6041.04,75.56,100,36.57,19.85,40.19,46.21,63.83,5.26,19.1248,18.1,0.46,46.42,17,225942,"50","2.2"
"253",2012,"南投縣",68300,87.62,47.63,"0.2",2244.5,65.84,100,30.22,22.02,42.29,32.68,51.52,6.73,22.956,14.9,0.44,49.6,3,200166,"62.4","2.5"
"254",2012,"嘉義市",40414,3405.75,1451.55,"7.18",4969.5,153.6,100,26.71,24.65,35.4,49.04,81.48,6.64,17.1415,15.2,0.46,50.51,1,239554,"74.8","3.5"
"255",2012,"嘉義縣",66183,196.69,96.19,"0.82",1335.92,63.12,100,33.33,23.49,46.09,34.1,81.5,3.19,19.0853,11,0.35,69.14,2,220912,"70.8","2.9"
"256",2012,"基隆市",67478,1471.31,685.42,"1.85",5046.64,74.56,100,30.62,15.96,25.98,50.11,47.2,7.95,21.8415,11.4,0.38,53.29,1,235621,"54.6","2.2"
"257",2012,"宜蘭縣",69527,139.09,67,"0.42",4001.33,93.2,100,31.21,21.77,28.57,40.56,51.68,6.32,19.5741,9.1,0.34,59.31,2,227013,"50.7","4.43"
"258",2012,"屏東縣",89318,253.98,94.55,"0.34",2934.64,73,100,30.75,24.8,45.08,39.37,60.92,4.08,18.308,8.3,0.34,49.74,4,195296,"72.4","2.37"
"259",2012,"彰化縣",157748,859.78,423.91,"7.64",5472.87,60.37,100,46.4,24.62,42.47,37.47,55.85,5.31,14.8421,13.6,0.38,59.47,3,200978,"60.1","3.5"
"260",2012,"新竹市",64477,2607.32,1339.9,"12.63",7674.32,62.58,100,43.01,17.43,18.59,44.46,42.82,6.12,17.5507,15.9,0.45,38.11,1,294515,"38.6","3.1"
"261",2012,"新竹縣",65998,204.72,134.74,"1.1100000000000001",5471.91,44.54,100,51.24,17.89,19.08,30.34,35.5,3.24,19.7478,12,0.34,36.83,2,258290,"57.9","2.8"
"262",2012,"桃園市",61676.3333333333,179.395,116.29,NA,4892.105,59.5016666666667,99.9983333333333,46.6416666666667,19.1733333333333,23.6566666666667,32.3433333333333,37.6383333333333,3.44666666666667,19.5972666666667,11.7,0.353333333333333,39.6416666666667,1.83333333333333,250161.166666667,"88.9","2.9"
"263",2012,"臺中市",57354.6666666667,154.07,97.84,NA,4312.3,74.4633333333333,99.9966666666667,42.0433333333333,20.4566666666667,28.2333333333333,34.3466666666667,39.7766666666667,3.65333333333333,19.4467333333333,11.4,0.366666666666667,42.4533333333333,1.66666666666667,242032.333333333,"79.7","3.38"
"264",2012,"臺北市",53033,128.745,79.39,NA,3732.495,89.425,99.995,37.445,21.74,32.81,36.35,41.915,3.86,19.2962,11.1,0.38,45.265,1.5,233903.5,"55.1","2.66"
"265",2012,"臺南市",48711.3333333333,103.42,60.94,NA,3152.69,104.386666666667,99.9933333333333,32.8466666666667,23.0233333333333,37.3866666666667,38.3533333333333,44.0533333333333,4.06666666666667,19.1456666666667,10.8,0.393333333333333,48.0766666666667,1.33333333333333,225774.666666667,"78.4","5.3"
"266",2012,"臺東縣",44389.6666666667,78.095,42.49,NA,2572.885,119.348333333333,99.9916666666667,28.2483333333333,24.3066666666667,41.9633333333333,40.3566666666667,46.1916666666667,4.27333333333333,18.9951333333333,10.5,0.406666666666667,50.8883333333333,1.16666666666667,217645.833333333,"-","1.3"
"267",2012,"花蓮縣",40068,52.77,24.04,"0.08",1993.08,134.31,99.99,23.65,25.59,46.54,42.36,48.33,4.48,18.8446,10.2,0.42,53.7,1,209517,"40.7","1.5"
"268",2012,"苗栗縣",69427,199.02,111.22,"0.89",4697.3,62.33,100,46.15,23.88,30.14,40.43,50.89,4.08,21.0921,12.5,0.37,43.26,3,206195,"44.7","2.5"
"269",2012,"雲林縣",63810,381.27,190.63,"1.18",2947.82,56.33,100,32.14,28.81,45.57,32.91,89.31,5.06,17.2504,12.8,0.38,62.31,4,183816,"65.9","3"
"270",2012,"高雄市",411525,774.66,281.61,"2.14",5906.13,75.51,100,36.76,22.35,37.79,47.15,61.25,5.76,18.7293,17.5,0.46,50.92,17,239305,"45.7","1.95"
